file_name,extracted_text
question_1.png,"Range dari data: 10, 15, 20, 25, 30 adalah..."
question_2.png,"Jika x dan y adalah bilangan bulat positif yang memenuhi 3x + 4y = 18, maka nilai maksimum dari x + y adalah…"
question_3.png,Diketahui deret aritmatika dengan suku pertama 5 dan suku ketiga 17. Jumlah 5 suku pertama adalah…
question_4.png,Selesaikan persamaan 3x + 4 = 19
question_5.png,Jumlah dari bilangan ganjil antara 1 dan 20 adalah
question_6.png,"Tali kambing Dona ditambatkan di titik A dan tali kambing Melky di titik C. Panjang tali pertama adalah t meter, dengan 6 < t < 9.
Jika panjang tali kambing Melky adalah maksimal sehingga kedua kambing tidak bertemu, jumlah luas daerah merumput kedua kambing akan mencapai nilai minimum untuk t ="
question_7.png,Turunan dari f(x) = sin(x) adalah...
question_8.png,"x : y = 3 : 4   
Jika x = 90. maka y adalah ...."
question_9.png,"Diketahui deret geometri 3 + 9 + 27 + 81 + ? Jika deret tersebut diteruskan sampai 9 suku, maka suku tengahnya adalah…"
question_10.png,Hitunglah keliling persegi panjang dengan panjang 10 cm dan lebar 5 cm
question_11.png,"Dalam suatu penelitian 45 ibu-ibu terhadap dua produk sabun, yaitu sabun A dan sabun B. Sebanyak 30 orang menggunakan sabun A, 25 orang menggunakan sabun B, dan 2 orang tidak menggunakan kedua sabun tersebut. Banyak orang yang hanya menggunakan sabun A adalah...."
question_12.png,"Modus dari data: 2, 2, 3, 4, 4, 4, 5, 5 adalah…"
question_13.png,"Hitung standar deviasi dari: 2, 2, 3, 3, 3"
question_14.png,Selesaikan pertidaksamaan 2x - 5 > 7
question_15.png,"Di kelas 9A terdapat 36 siswa, setelah di data terdapat 7 orang gemar IPA, 9 orang gemar matematika, dan 5 orang gemar keduanya. Banyak siswa yang tidak gemar keduanya adalah…"
question_16.png,Jika f(x) = x² - 2 dan g(x) = 2x + 1 maka komposisi (f o g)(x) adalah
question_17.png,Selesaikan persamaan 3x + 4 = 19
question_18.png,"Jika Sn = n + 3n adalah jumlah n suku pertama suatu deret aritmatika, maka tentukan suku ke-17 dari deret tersebut!"
question_19.png,"Diketahui fungsi f(x) = 6x – 3, g(x) = 5x + 4 dan (f ? g)(a) = 81. Tentukan nilai a!"
question_20.png,"Sebuah titik (x,y) dalam bidang koordinat kartesius, di mana x dan y bilangan bulat dengan |x|<4 dan |y|<4, dipilih secara acak. Setiap titik mempunyai peluang yang sama untuk terpilih. Peluang terpilihnya titik yang jaraknya dari titik asal tidak lebih dari 2 adalah..."
question_21.png,Dari 500 bilangan akan dipilih sebuah bilangan. Jika 375 bilangan diantara bilangan tersebut adalah bilangan kelipatan 3 dan 275 bilangan adalah bilangan kelipatan 5 dan sisanya adalah 40 bilangan adalah bilangan prima. Berapa peluang yang terambil adalah bilangan kelipatan 5 juga merupakan kelipatan 3
question_22.png,Luas segitiga dengan alas 6 cm dan tinggi 8 cm adalah…
question_23.png,cos(60°) = ...
question_24.png,Tentukan jumlah 20 suku pertama deret arimatika 3 + 7 + 11 + …
question_25.png,Diketahui barisan aritmatika memiliki rumus suku ke-n Un = 6n + 8. Nilai dari beda adalah
question_26.png,Jika f:R?R dengan f(x)=x-4 dan g:R?R dengan g(x) = x² + 1. Tentukan (f o g)(x-3)!
question_27.png,sin²(x) + cos²(x) = ...
question_28.png,"Peluang Ali, Budi, dan Dian lulus UGM masing-masing adalah 0,7 .  0,8, dan 0,9. Peluang lulus hanya satu orang diantara tiga orang tersebut adalah…"
question_29.png,"Dari 100 orang yang disurvei tentang kegemaran menonton acara televisi, diperoleh 68 orang gemar menonton sinetron, 42 orang gemar menonton berita, dan 10 orang tidak gemar kedua acara tersebut. Banyak orang yang hanya gemar menonton berita adalah…"
question_30.png,?(x²)dx = …
question_31.png,"Dalam seleksi penerima beasiswa, setiap siswa harus lulus tes matematika dan bahasa. Dari 180 peserta terdapat 103 orang dinyatakan lulus tes matematika dan 142 orang lulus tes bahasa Banyak siswa yang dinyatakan lulus sebagai penerima beasiswa ada . . ."
question_32.png,Nilai cos(90°) adalah…
question_33.png,?(x²)dx = ...
question_34.png,?(2x + 3)dx = ...
question_35.png,sin²(x) + cos²(x) = ...
question_36.png,sin(30°) = …
question_37.png,"Modus dari data: 2, 2, 3, 4, 4, 4, 5, 5 adalah..."
question_38.png,Selesaikan pertidaksamaan 2x - 5 > 7
question_39.png,"Range dari data: 10, 15, 20, 25, 30 adalah..."
question_40.png,"Hitung standar deviasi dari: 2, 2, 3, 3, 3"
question_41.png,"Mean dari data: 2, 4, 6, 8, 10 adalah..."
question_42.png,sin(30°) = ...
question_43.png,Turunan dari f(x) = sin(x) adalah...
question_44.png,"Jika sebuah dadu dilempar (ditos) empat kali, maka peluang jumlah mata dadu yang muncul adalah 21 adalah…"
question_45.png,"Diketahui premis – premis
(1) Jika hari hujan, maka ibu memakai payung
(2) Ibu tidak memakai payung
Penarikan kesimpulan yang sah dari premis – premis tersebut adalah"
question_46.png,Seorang murid diminta mengerjakan 8 soal dari 18 soal dengan ketentuan nomor 1 sampai 5 harus dikerjakan. Banyak susunan soal yang dapat dipilih adalah
question_47.png,Diketahui f(x) = 2x^3+ 3x – 4 .Tentukan turunannya
question_48.png,Turunan dari f(x) = x³ + 2x² - 4x adalah...
question_49.png,"Range dari data: 10, 15, 20, 25, 30 adalah..."
question_50.png,"Diketahui premis-premis berikut:
Premis 1 : Jika hari ini hujan maka saya tidak pergi
Premis 2 : Jika saya tidak pergi maka saya nonton sepak bola
Kesimpulan yang sah dari penarikan kedua premis tersebut adalah "
question_51.png,Bu Erna yang tinggal di Jakarta ingin pergi ke Eropa via Turki. Rute dari Jakarta ke Turki ada 5 rute penerbangan. Rute dari Turki ke Eropa ada 6 rute penerbangan. Banyak semua pilihan rute penerbangan dari Jakarta ke Eropa pergi pulang jika tidak boleh melalui rute yang sama adalah
question_52.png,"Range dari data: 10, 15, 20, 25, 30 adalah..."
question_53.png,"Median dari data: 1, 3, 3, 6, 7, 8, 9 adalah..."
question_54.png,"Dalam setiap 20 menit amuba membelah diri menjadi dua. Jika mula-mula ada 50 amuba, selama 2 jam banyaknya amuba adalah"
question_55.png,tan(45°) = ...
question_56.png,"Jika A adalah suatu kejadian dan P(A) adalah peluang terjadinya A, maka besarnya frekuensi harapan kejadian A dalam n kali percobaan dirumuskan…"
question_57.png,"Mean dari data: 2, 4, 6, 8, 10 adalah..."
question_58.png,Turunan dari f(x) = sin(x) adalah...
question_59.png,Turunan dari f(x) = x³ + 2x² - 4x adalah...
question_60.png,"Range dari data: 10, 15, 20, 25, 30 adalah..."
question_61.png,Sederhanakan: (2x + 3)(x - 1)
question_62.png,"Jika K =  k, o, m, p, a, s  dan L =  m, a, s, u, k , maka K U L = "
question_63.png,Dua dadu dilempar bersamaan. Berapakah peluang muncul jumlah angka pada kedua dadu sebesar 7?
question_64.png,"Dari 40 orang anggota karang taruna, 21 orang gemar tenis meja, 27 orang gemar bulu tangkis, dan 15 orang gemar tenis meja dan bulu tangkis. Banyak anggota karang taruna yang tidak gemar tenis meja maupun bulu tangkis adalah.."
question_65.png,"Karena keterbatasan dana, Kristy hanya dapat mengundang 10 dari 15 orang temannya dalam rangka perayaan ulang tahun. Di antara mereka, ada teman karibnya bernama Budi, Candra, Sandra, Susan, dan Dewi. Kristy memutuskan bahwa Candra dan Dewi harus diundang. Sandra dan Susan dipastikan tidak bisa memenuhi undangan karena sedang sakit. Banyaknya cara mengundang teman-temannya adalah"
question_66.png,Hitunglah keliling persegi panjang dengan panjang 10 cm dan lebar 5 cm
question_67.png,"Mean dari data: 2, 4, 6, 8, 10 adalah..."
question_68.png,Sederhanakan: (2x + 3)(x - 1)
question_69.png,Selesaikan persamaan 3x + 4 = 19
question_70.png,Diketahui suku ke-11 suatu barisan aritmatika adalah -16 dan suku ke-20 adalah -34. Suku kelima belasnya adalah
question_71.png,"Sisi-sisi segitiga siku-siku membentuk barisan aritmatika. Jika sisi terpendek 24 cm, panjang sisi siku-siku yang lain adalah"
question_72.png,Ingkaran dari pernyataan Beberapa bilangan prima adalah bilangan genap adalah
question_73.png,Kontraposisi dari Jika semua warga negara membayar pajak maka pembangunan berjalan lancar adalah
question_74.png,"Naruto menyelesaikan sebuah tugas adalah sebesar 0,66. Sedangkan probabilitas Sasuke menyelesaikan tugas yang sama adalah 0,6. Berapakah prosentase probabilitas keduanya menyelesaikan tugas tersebut?"
question_75.png,"Jika P =  faktor dari 10  Q =  tiga bilangan prima pertama 
Maka P U Q = . . ."
question_76.png,Sederhanakan: (2x + 3)(x - 1)
question_77.png,Tentukan akar-akar dari x² - 5x + 6 = 0
question_78.png,"Diberikan 15,4,7,6,2  ? 2,4,6,8 = 4, x ,6, maka x adalah… ( ? dibaca irisan)"
question_79.png,"Dari suatu kelas terdapat 25 siswa suka membaca, 30 siswa suka mengarang. Jika 12 orang siswa suka membaca dan mengarang, banyak siswa dalam kelas tersebut adalah"
question_80.png,sin²(x) + cos²(x) = ...
question_81.png,Ingkaran dari pernyataan Beberapa bilangan prima adalah bilangan genap adalah.
question_82.png,Nilai cos(90°) adalah...
question_83.png,"Median dari data: 1, 3, 3, 6, 7, 8, 9 adalah..."
question_84.png,"Diketahui f(x) = 2x + 2 dan g(x) = 8x - 5, maka (f o g)(x) adalah?"
question_85.png,Tentukan limit x2 dari (x² - 4)/(x - 2)
question_86.png,"Pada suatu gedung kesenian terdapat kursi yang disusun dengan jumlah kursi pada baris pertama 16 kursi, baris kedua 21 kursi, baris ketiga 26 kursi dan seterusnya selalu bertambah 5 kursi. Jika dalam gedung itu terdapat 10 baris, jumlah kursi seluruhnya adalah"
question_87.png,"Modus dari data: 2, 2, 3, 4, 4, 4, 5, 5 adalah..."
question_88.png,"Mean dari data: 2, 4, 6, 8, 10 adalah..."
question_89.png,"Premis 1: Jika kamu minum cukup air, maka kamu terhindar dari dehidrasi. Premis 2: Jika kamu terhindar dari dehidrasi, maka kamu tidak akan lemas. Kesimpulan dari premis-premis tersebut adalah"
question_90.png,"Jika diberikan f(x) = x - 5 dan (fog)(x) = x² + 2x - 9, maka g(x)"
question_91.png,"Hitunglah luas permukaan balok dengan p=4cm, l=3cm, t=5cm"
question_92.png,"Dalam sebuah kelas terdapat 17 siswa gemar matematika, 15 siswa gemar fisika, 8 siswa gemar keduanya. Banyak siswa dalam kelas adalah . . "
question_93.png,sin(30°) = ...
question_94.png,"Suatu toko buah menjual jeruk, mangga, dan pisang. Wawa ingin membeli 20 buah pada toko tersebut. Jika Wawa ingin membeli paling sedikit masing-masing 5  buah, maka banyak komposisi buah yang mungkin dapat dibeli adalah"
question_95.png,"Konvers dari Jika n bilangan prima lebih dari 2, maka n ganjil adalah"
question_96.png,Suatu barisan aritmatika mempunyai suku pertama sama dengan 3 dan beda sama dengan 2. Berapakah suku ke-5 nya?
question_97.png,"Dalam sebuah kotak terdapat 6 bola merah, 4 bola biru, dan 5 bola hijau. Jika satu bola diambil secara acak dari kotak tersebut, tentukan peluang terambilnya bola berwarna biru?"
question_98.png,Ingkaran dari pernyataan Ada siswa SMK yang tidak harus mengikuti praktik kerja industri adalah
question_99.png,Tentukan akar-akar dari x² - 5x + 6 = 0
question_100.png,"Modus dari data: 2, 2, 3, 4, 4, 4, 5, 5 adalah..."
